ward,gap_index,pt_index,gap_band,stop_gap,shelter_gap,hub_gap,density_gap,walk_gap,mean_walk_min,area_km2,stop_count,shelter_count,hub_count,stops_per_km2,median_walk_min,p90_walk_min,mean_network_m,pct_samples_within_5min,pct_samples_within_10min,mrts_station_count,cmrl_hub_count,railway_station_count,nearest_mrts_m,nearest_cmrl_m,nearest_railway_m
191,88,12.0,severe,22,25,15,10,16,14.9,4.163,2,0,0,0.48,15.4,26.8,1191.3,11.3,30.4,0,0,0,5593.5,7832.9,5627.1
159,77,23.0,severe,22,25,0,10,20,24.7,3.367,3,0,2,0.89,24.1,45.9,1977.3,13.9,29.1,1,1,1,1121.8,979.7,1127.5
181,76,24.0,severe,22,25,15,10,4,7.0,1.625,3,0,0,1.85,6.8,11.7,556.3,28.0,88.0,0,0,0,1971.4,1831.8,1904.0
183,76,24.0,severe,22,25,15,10,4,7.1,1.54,4,0,0,2.6,7.5,10.6,571.9,25.0,83.8,0,0,0,2626.0,2559.5,2569.5
158,72,28.0,severe,14,25,15,10,8,8.8,2.012,5,0,0,2.49,9.2,15.2,703.5,29.0,58.1,0,0,0,2827.6,2098.9,2853.8
22,72,28.0,severe,14,25,15,10,8,8.3,2.153,6,0,0,2.79,6.0,21.1,663.9,41.8,71.4,0,0,0,3256.6,866.5,3790.1
184,69,31.0,high,30,8,15,0,16,12.9,3.118,0,0,0,0.0,13.2,19.6,1034.4,6.2,34.0,0,0,0,1157.7,1953.9,1233.0
192,68,32.0,high,14,25,15,10,4,7.5,2.554,6,0,0,2.35,7.4,11.9,599.6,24.8,76.9,0,0,0,3766.4,3798.7,3734.4
143,62,38.0,high,8,25,15,10,4,7.3,2.597,7,0,0,2.7,7.1,13.3,586.5,33.9,79.3,0,0,0,4673.5,2977.3,4622.8
199,62,38.0,high,0,25,15,10,12,11.5,8.074,15,0,0,1.86,9.6,22.8,919.5,22.3,52.5,0,0,0,9155.5,10719.8,9189.9
31,62,38.0,high,8,25,15,10,4,6.7,2.495,7,0,0,2.81,6.0,12.8,536.7,40.7,80.5,0,0,0,4508.3,6873.3,4496.5
144,61,39.0,high,14,25,15,7,0,4.5,1.388,6,0,0,4.32,4.6,7.2,362.3,53.0,100.0,0,0,0,5696.0,2263.8,4769.0
149,61,39.0,high,14,25,15,7,0,4.5,1.416,6,0,0,4.24,4.6,7.0,359.1,52.3,100.0,0,0,0,5290.1,3204.6,5295.2
154,61,39.0,high,14,25,15,7,0,4.9,1.172,5,0,0,4.27,4.9,8.5,393.5,53.7,92.6,0,0,0,4737.1,4070.6,4719.9
112,59,41.0,high,22,25,5,7,0,5.2,1.06,4,0,1,3.77,5.2,9.4,414.9,46.0,98.0,1,0,1,1369.3,2900.0,1380.3
