ward_label,mean_walk_min,median_walk_min,p90_walk_min,pct_samples_within_10min,pct_samples_beyond_10min,gap_band,gap_index,stop_count,area_km2
159,24.7,24.1,45.9,29.1,70.9,severe,77,3,3.367
15,20.8,14.8,50.0,29.5,70.5,high,53,8,8.705
191,14.9,15.4,26.8,30.4,69.6,severe,88,2,4.163
184,12.9,13.2,19.6,34.0,66.0,high,69,0,3.118
16,11.7,11.1,22.7,40.8,59.2,high,50,15,10.025
189,13.2,11.5,25.7,43.0,57.0,moderate,44,12,10.197
190,11.9,10.4,24.0,45.9,54.1,high,50,10,3.067
199,11.5,9.6,22.8,52.5,47.5,high,62,15,8.074
23,9.8,9.6,16.8,54.1,45.9,high,47,5,4.154
198,8.9,9.2,14.1,57.3,42.7,moderate,36,11,6.3
200,10.4,9.7,22.4,57.8,42.2,high,45,8,7.517
158,8.8,9.2,15.2,58.1,41.9,severe,72,5,2.012
194,8.8,8.7,14.4,59.7,40.3,moderate,41,8,4.512
197,8.7,8.8,14.0,62.6,37.4,moderate,33,16,8.473
7,9.1,7.7,16.9,63.0,37.0,moderate,29,13,7.678
157,8.9,5.8,18.0,64.5,35.5,high,50,19,4.575
24,8.3,7.1,17.2,64.5,35.5,moderate,33,10,2.712
188,7.6,7.4,13.5,67.1,32.9,moderate,37,8,3.423
17,8.4,7.8,16.7,70.4,29.6,high,58,15,6.675
22,8.3,6.0,21.1,71.4,28.6,severe,72,6,2.153
180,7.3,7.3,12.8,72.6,27.4,moderate,34,8,1.82
37,6.6,5.5,12.8,75.3,24.7,moderate,32,12,4.1
109,7.7,8.6,11.7,76.1,23.9,high,48,4,0.941
21,8.2,4.4,24.8,76.2,23.8,moderate,38,8,1.87
83,7.8,6.9,15.8,76.3,23.7,moderate,41,20,6.632
192,7.5,7.4,11.9,76.9,23.1,high,68,6,2.554
19,6.5,5.2,14.6,77.4,22.6,high,51,19,4.118
143,7.3,7.1,13.3,79.3,20.7,high,62,7,2.597
6,6.4,5.3,12.3,79.4,20.6,high,51,3,1.377
31,6.7,6.0,12.8,80.5,19.5,high,62,7,2.495
179,6.8,6.3,12.0,81.0,19.0,moderate,43,5,1.873
169,5.4,4.4,12.2,81.6,18.4,low,7,32,3.768
18,5.7,4.7,11.3,81.9,18.1,high,50,20,8.073
172,6.9,3.8,23.7,82.6,17.4,high,46,31,8.376
183,7.1,7.5,10.6,83.8,16.2,severe,76,4,1.54
174,5.2,4.4,11.2,85.1,14.9,moderate,32,25,3.463
182,6.2,5.8,12.3,85.4,14.6,low,11,15,3.28
90,5.5,4.9,10.6,86.5,13.5,moderate,36,5,1.084
195,5.3,4.1,12.2,87.2,12.8,moderate,32,15,2.489
82,5.8,5.1,10.3,87.4,12.6,low,18,19,3.877
29,6.6,7.3,10.3,87.7,12.3,high,49,5,2.279
193,5.9,5.7,10.3,87.8,12.2,high,50,10,2.082
166,6.5,6.2,10.0,87.9,12.1,high,57,0,1.3
88,5.5,4.5,11.8,87.9,12.1,moderate,31,11,2.272
181,7.0,6.8,11.7,88.0,12.0,severe,76,3,1.625
30,6.0,6.2,10.6,88.1,11.9,low,23,21,3.097
27,5.8,5.6,10.3,89.0,11.0,low,22,14,3.644
106,6.3,6.3,9.7,89.2,10.8,high,48,4,0.885
25,5.7,5.0,10.7,89.4,10.6,moderate,32,23,3.982
156,6.3,6.3,10.1,89.8,10.2,high,54,12,2.777
32,5.7,5.3,10.0,89.9,10.1,moderate,28,20,4.966
96,5.6,5.7,10.0,90.2,9.8,low,9,14,2.75
196,5.6,4.9,9.7,90.3,9.7,moderate,30,7,1.552
153,5.6,5.3,9.7,90.4,9.6,moderate,39,6,2.266
94,6.0,6.3,9.6,91.3,8.7,high,47,7,1.502
85,5.1,4.8,9.5,91.6,8.4,low,19,23,4.379
3,4.9,4.1,8.9,92.0,8.0,moderate,34,17,3.161
154,4.9,4.9,8.5,92.6,7.4,high,61,5,1.172
108,4.9,4.8,8.1,92.9,7.1,moderate,27,8,1.53
177,5.2,4.8,9.3,93.0,7.0,low,9,16,2.781
86,4.8,4.4,8.9,93.5,6.5,moderate,39,37,6.25
171,4.3,3.8,8.0,93.5,6.5,low,7,28,3.35
110,4.1,3.7,7.5,93.6,6.4,low,17,22,2.053
4,4.5,4.4,8.8,93.8,6.2,moderate,34,15,2.08
46,4.2,3.5,7.3,93.9,6.1,low,20,12,1.436
150,4.5,3.9,8.9,94.0,6.0,moderate,39,21,3.535
186,5.2,4.9,9.1,94.6,5.4,moderate,32,14,2.385
13,7.3,7.5,9.5,94.7,5.3,high,49,0,0.471
148,3.9,3.4,8.4,94.7,5.3,high,50,8,0.883
